file,time,fire_count,max_power,visualization,csv
OR_ABI-L2-FDCC-M6_G16_s20223200401172_e20223200403544_c20223200404190.nc,2022-11-16 04:01:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200401172_e20223200403544_c20223200404190_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200406172_e20223200408544_c20223200409187.nc,2022-11-16 04:06:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200406172_e20223200408544_c20223200409187_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200411172_e20223200413544_c20223200414209.nc,2022-11-16 04:11:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200411172_e20223200413544_c20223200414209_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200416172_e20223200418545_c20223200419189.nc,2022-11-16 04:16:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200416172_e20223200418545_c20223200419189_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200421172_e20223200423544_c20223200424184.nc,2022-11-16 04:21:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200421172_e20223200423544_c20223200424184_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200426172_e20223200428544_c20223200429182.nc,2022-11-16 04:26:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200426172_e20223200428544_c20223200429182_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200431172_e20223200433544_c20223200434188.nc,2022-11-16 04:31:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200431172_e20223200433544_c20223200434188_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200436172_e20223200438544_c20223200439172.nc,2022-11-16 04:36:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200436172_e20223200438544_c20223200439172_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200441172_e20223200443544_c20223200444217.nc,2022-11-16 04:41:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200441172_e20223200443544_c20223200444217_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200446172_e20223200448544_c20223200449172.nc,2022-11-16 04:46:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200446172_e20223200448544_c20223200449172_visualization.png,
